import time: self [us] | cumulative | imported package
import time:       511 |        511 |                                     numpy._core.records
import time:      5153 |       5153 |                                     numpy._core._add_newdocs
import time:      1478 |       1478 |                                     numpy._core._add_newdocs_scalars
import time:       373 |        373 |                                     numpy._core._dtype_ctypes
import time:      3550 |       3550 |                                     numpy._core._internal
import time:       484 |        484 |                                     numpy._pytesttester
import time:      1131 |      32359 |                                   numpy._core
import time:        68 |      32427 |                                 numpy._core._multiarray_umath
import time:       811 |      33238 |                               numpy.__config__
import time:       400 |        400 |                                                 numpy._typing._nbit_base
import time:       471 |        471 |                                                 numpy._typing._nested_sequence
import time:       190 |        190 |                                                 numpy._typing._shape
import time:      4797 |       5856 |                                               numpy._typing._array_like
import time:      6926 |       6926 |                                               numpy._typing._char_codes
import time:      4456 |       4456 |                                               numpy._typing._dtype_like
import time:       278 |        278 |                                               numpy._typing._nbit
import time:       235 |        235 |                                               numpy._typing._scalars
import time:       202 |        202 |                                               numpy._typing._ufunc
import time:       987 |      18937 |                                             numpy._typing
import time:       478 |        478 |                                               numpy.lib._stride_tricks_impl
import time:       788 |       1265 |                                             numpy.lib._twodim_base_impl
import time:       255 |        255 |                                               numpy.lib._array_utils_impl
import time:       330 |        585 |                                             numpy.lib.array_utils
import time:      1789 |       1789 |                                             numpy.linalg._umath_linalg
import time:      2565 |      25140 |                                           numpy.linalg._linalg
import time:       382 |        382 |                                           numpy.linalg.linalg
import time:       377 |      25898 |                                         numpy.linalg
import time:       530 |      26427 |                                       numpy.matrixlib.defmatrix
import time:       372 |      26799 |                                     numpy.matrixlib
import time:       778 |        778 |                                       numpy.lib._histograms_impl
import time:      2584 |       3362 |                                     numpy.lib._function_base_impl
import time:       528 |        528 |                                     numpy.lib.stride_tricks
import time:       845 |      31531 |                                   numpy.lib._index_tricks_impl
import time:       918 |      32449 |                                 numpy.lib._arraypad_impl
import time:      1819 |       1819 |                                 numpy.lib._arraysetops_impl
import time:       795 |        795 |                                 numpy.lib._arrayterator_impl
import time:      1613 |       1613 |                                 numpy.lib._nanfunctions_impl
import time:       507 |        507 |                                       numpy.lib._utils_impl
import time:       537 |       1044 |                                     numpy.lib._format_impl
import time:       311 |       1354 |                                   numpy.lib.format
import time:       468 |        468 |                                   numpy.lib._datasource
import time:       661 |        661 |                                   numpy.lib._iotools
import time:      1326 |       3808 |                                 numpy.lib._npyio_impl
import time:       329 |        329 |                                     numpy.lib._ufunclike_impl
import time:       758 |       1087 |                                   numpy.lib._type_check_impl
import time:      1639 |       2726 |                                 numpy.lib._polynomial_impl
import time:      1081 |       1081 |                                 numpy.lib._shape_base_impl
import time:       555 |        555 |                                 numpy.lib._version
import time:       486 |        486 |                                 numpy.lib.introspect
import time:       726 |        726 |                                 numpy.lib.mixins
import time:       497 |        497 |                                 numpy.lib.npyio
import time:      1041 |       1041 |                                   numpy.lib._scimath_impl
import time:       555 |       1596 |                                 numpy.lib.scimath
import time:      1007 |      49153 |                               numpy.lib
import time:       462 |        462 |                               numpy._array_api_info
import time:      7796 |      93534 |                             numpy
import time:       501 |      97863 |                           distributed.protocol.utils
import time:      1087 |     106363 |                         distributed.protocol.serialize
import time:       445 |     106808 |                       distributed.protocol.pickle
import time:       827 |     107634 |                     distributed.protocol.core
import time:       471 |        471 |                     distributed.protocol.cuda
import time:       532 |     108636 |                   distributed.protocol
import time:       414 |        414 |                   distributed._async_taskgroup
import time:       318 |        318 |                       distributed.comm.registry
import time:       528 |        846 |                     distributed.comm.addressing
import time:       681 |        681 |                     distributed.comm.core
import time:       290 |        290 |                       distributed.sizeof
import time:       403 |        692 |                     distributed.comm.utils
import time:       659 |        659 |                     distributed.comm.inproc
import time:      1979 |       1979 |                           unicodedata
import time:      2513 |       4491 |                         stringprep
import time:      1403 |       5894 |                       encodings.idna
import time:      1391 |       1391 |                       tornado.iostream
import time:       876 |        876 |                       tornado.tcpclient
import time:       881 |        881 |                       tornado.tcpserver
import time:       382 |        382 |                       distributed.system
import time:     13369 |      22791 |                     distributed.comm.tcp
import time:       794 |        794 |                       gzip
import time:       771 |        771 |                       hmac
import time:      1718 |       1718 |                         http
import time:      9515 |      11232 |                       http.cookies
import time:       213 |        213 |                         _winapi
import time:       195 |        195 |                         winreg
import time:       910 |       1316 |                       mimetypes
import time:      2377 |       2377 |                               email.feedparser
import time:       546 |       2923 |                             email.parser
import time:      2194 |       5117 |                           http.client
import time:     19093 |      24209 |                         tornado.http1connection
import time:       653 |      24861 |                       tornado.httpserver
import time:       395 |        395 |                       tornado._locale_data
import time:      1253 |       1253 |                       tornado.routing
import time:      1521 |       1521 |                       tornado.httpclient
import time:       495 |        495 |                           tornado.locks
import time:       685 |       1179 |                         tornado.queues
import time:      2643 |       3821 |                       tornado.websocket
import time:      8612 |      54572 |                     distributed.comm.ws
import time:       547 |        547 |                             unittest.util
import time:       656 |       1202 |                           unittest.result
import time:       736 |        736 |                             pprint
import time:      1157 |       1893 |                           unittest.case
import time:       810 |        810 |                           unittest.suite
import time:      1506 |       1506 |                           unittest.loader
import time:      1497 |       1497 |                             argparse
import time:       429 |        429 |                               unittest.signals
import time:       672 |       1101 |                             unittest.runner
import time:       730 |       3327 |                           unittest.main
import time:       617 |       9353 |                         unittest
import time:      2759 |      12111 |                       unittest.mock
import time:      1010 |       1010 |                             distributed.diagnostics.plugin
import time:       553 |       1563 |                           distributed.diagnostics.graph_layout
import time:       612 |        612 |                           distributed.diagnostics.memory_sampler
import time:       463 |       2637 |                         distributed.diagnostics
import time:       252 |        252 |                         pynvml
import time:      1255 |       4144 |                       distributed.diagnostics.nvml
import time:       764 |      17018 |                     distributed.comm.ucx
import time:       508 |      97764 |                   distributed.comm
import time:       222 |        222 |                     crick
import time:       434 |        656 |                   distributed.counter
import time:       571 |        571 |                     locket
import time:       487 |       1058 |                   distributed.diskutils
import time:       295 |        295 |                   distributed.system_monitor
import time:      2938 |     212437 |                 distributed.core
import time:       634 |     213913 |               distributed.preloading
import time:      1502 |       1502 |                             sysconfig
import time:       848 |        848 |                               packaging._elffile
import time:       674 |       1521 |                             packaging._manylinux
import time:       514 |        514 |                             packaging._musllinux
import time:      7505 |      11040 |                           packaging.tags
import time:      4035 |      15074 |                         packaging.utils
import time:     36969 |      52043 |                       packaging.specifiers
import time:     44773 |      96816 |                     packaging._tokenizer
import time:      1156 |      97971 |                   packaging._parser
import time:      1221 |       1221 |                   packaging.markers
import time:       458 |      99650 |                 packaging.requirements
import time:      5871 |     105520 |               distributed.versions
import time:       606 |        606 |               distributed.batched
import time:       485 |        485 |               distributed.cfexecutor
import time:       343 |        343 |               distributed.objects
import time:       465 |        465 |               distributed.publish
import time:       453 |        453 |               distributed.security
import time:       583 |        583 |                 distributed.collections
import time:       306 |        306 |                 distributed.itertools
import time:       699 |       1587 |               distributed.spans
import time:       360 |        360 |                 distributed._concurrent_futures_thread
import time:       424 |        783 |               distributed.threadpoolexecutor
import time:       480 |        480 |               distributed.utils_comm
import time:       258 |        258 |                   rmm
import time:       361 |        619 |                 distributed.diagnostics.rmm
import time:       345 |        345 |                 distributed.exceptions
import time:      1766 |       1766 |                 distributed.gc
import time:       397 |        397 |                   distributed.http.utils
import time:       243 |        639 |                 distributed.http
import time:       333 |        333 |                   distributed.http.routing
import time:       342 |        675 |                 distributed.node
import time:       216 |        216 |                   setproctitle
import time:       262 |        477 |                 distributed.proctitle
import time:       624 |        624 |                           zict.common
import time:       350 |        350 |                             zict.utils
import time:       487 |        836 |                           zict.lru
import time:       554 |       2013 |                         zict.buffer
import time:       450 |       2463 |                       zict.async_buffer
import time:       379 |        379 |                       zict.cache
import time:      1617 |       1617 |                         mmap
import time:       463 |       2080 |                       zict.file
import time:       340 |        340 |                       zict.func
import time:       522 |        522 |                       zict.lmdb
import time:       358 |        358 |                       zict.sieve
import time:       387 |        387 |                       zict.zip
import time:       466 |       6991 |                     zict
import time:      3273 |      10264 |                   distributed.spill
import time:      1976 |      12240 |                 distributed.worker_memory
import time:     24693 |      24693 |                 distributed.worker_state_machine
import time:       260 |        260 |                 rmm
import time:      3560 |      45269 |               distributed.worker
import time:      5957 |     397484 |             distributed.client
import time:      2121 |     412636 |           distributed.actor
import time:       414 |        414 |               distributed.deploy.adaptive_core
import time:       655 |       1068 |             distributed.deploy.adaptive
import time:       639 |        639 |             distributed.deploy.cluster
import time:       877 |        877 |                     sortedcontainers.sortedlist
import time:       572 |        572 |                     sortedcontainers.sortedset
import time:       613 |        613 |                     sortedcontainers.sorteddict
